name,team,cl,go_fo
"Freeman, Michael",Oklahoma St.,Sr,4.025
"Wertz, Dan",Sacred Heart,Sr,3.542
"Thome, Andrew",North Dakota,Sr,3.362
"Mitchell, Ross",Mississippi St.,Sr,2.909
"Holtmann, Bryant",Florida St.,Sr,2.886
"Bisacca, Alex",Sam Houston St.,Sr,2.811
"Davis, Evan",Marist,Sr,2.585
"Kerr, Austin",Coastal Caro.,Sr,2.515
"Haan, Brett",Purdue,Sr,2.475
"Anderson, Tanner",Harvard,Sr,2.448
"Angelle, Chase",Lamar,Sr,2.387
"Danton, Matt",A&M-Corpus Chris,Sr,2.361
"Berg, David",UCLA,Sr,2.343
"Taylor, Corey",Texas Tech,Sr,2.316
"Johnson, Drasen",Illinois,Sr,2.286
"Muhammad, Yahya",Coppin St.,Sr,2.268
"Ledford, Alex",Samford,Sr,2.262
"Solter, Matt",Furman,Sr,2.235
"Mulholland, Casey",South Fla.,Sr,2.222
"Milhorn, Greg",La.-Lafayette,Sr,2.176
"Neumann, Ben",Northern Ill.,Sr,2.153
"Luna, Alex",UAB,Sr,2.146
"Buettgen, Noah",Dayton,Sr,2.140
"Talley, Christian",Southern Miss.,Sr,2.135
"Edwards, Jayme",Lehigh,Sr,2.114
"Clowers, Shawn",Liberty,Sr,2.043
"Hough, Bryson",Bucknell,Sr,2.037
"Lieske, Johnny",UAB,Sr,2.017
"Galbraith, Laetten",Louisiana Tech,Sr,2.000
"Friedrichs, Kyle",Long Beach St.,Sr,1.983
"Lyons, Jared",Liberty,Sr,1.952
"Fernandez, Danny",Lamar,Sr,1.918
"Laster, Lucas",Mississippi St.,Sr,1.904
"Jacobson, Raul",UC Davis,Sr,1.882
"Riga, Ryan",Ohio St.,Sr,1.819
"Suarez, Andrew",Miami (FL),Sr,1.791
"Williams, John",George Mason,Sr,1.790
"Dwyer, Heath",VCU,Sr,1.783
"Morrison, Preston",TCU,Sr,1.781
"Loeffler, Matt",New Mexico St.,Sr,1.778
"Pittman, Morgan",Mercer,Sr,1.756
"Case, Tyler",Mississippi Val.,Sr,1.730
"French, Parker",Texas,Sr,1.710
"Wells, Ryan",IPFW,Sr,1.708
"Abbott, Tyler",Chicago St.,Sr,1.703
"McCord, Rocky",Auburn,Sr,1.694
"Kubat, Kyle",Nebraska,Sr,1.693
"Elia, Anthony",Seton Hall,Sr,1.673
"Pearson, Robert",Texas Southern,Sr,1.667
"Zuniga, Keith",Bethune-Cookman,Sr,1.667
"Godail, Andrew",Sam Houston St.,Sr,1.657
"Magallones, Brandon",Northwestern,Sr,1.641
"Stewart, Devon",Canisius,Sr,1.640
"Stephens, Nick",Lehigh,Sr,1.635
"Istler, Andrew",Duke,Sr,1.627
"Fraudin, Matt",Gardner-Webb,Sr,1.614
"Ponto, Tim",Saint Joseph's,Sr,1.610
"Schwartz, Toby",Lafayette,Sr,1.604
"McClennan, Scott",Manhattan,Sr,1.597
"Heath, Scott",Maine,Sr,1.594
"Ludwig, Dan",Belmont,Sr,1.589
"Mayle, Chad",Western Mich.,Sr,1.582
"Smith, Clay",Saint Louis,Sr,1.581
"Hammond, Xavier",Bucknell,Sr,1.564
"McAfee, Brian",Cornell,Sr,1.563
"Incinelli, Evan",North Florida,Sr,1.559
"Narahara, Matt",San Francisco,Sr,1.537
"Welmon, Colin",Loyola Marymount,Sr,1.529
"Link, Jason",Bowling Green,Sr,1.527
"Arakawa, Jarrett",Hawaii,Sr,1.510
"Warner, Mitch",Gardner-Webb,Sr,1.500
"Stoops, Dylan",Richmond,Sr,1.500
"Bain, Rob",Davidson,Sr,1.489
"Snyder, Brandon",Portland,Sr,1.488
"Guilbeau, Taylor",Alabama,Sr,1.486
"Veilleux, Kevin",UMass Lowell,Sr,1.481
"McDorman, Kyle",Charleston So.,Sr,1.478
"Martinez-McGraw, Ian",Lipscomb,Sr,1.471
"Owen, David",Arkansas St.,Sr,1.465
"Keel, Jerry",CSUN,Sr,1.440
"Keselica, Sean",Virginia Tech,Sr,1.426
"Cooper, Cody",Northern Ky.,Sr,1.419
"Sheppard, Tripp",Ga. Southern,Sr,1.418
"Clements, Robby",Auburn,Sr,1.404
"Lewicki, Ed",Siena,Sr,1.403
"Ernst, David",North Dakota St.,Sr,1.403
"Prejean, Cole",McNeese St.,Sr,1.400
"Cruz IV, Frank",Texas Southern,Sr,1.394
"Smith, Cameron",Texas Tech,Sr,1.387
"Tidwell, Ben",Troy,Sr,1.386
"Frebis, Johnathan",Middle Tenn.,Sr,1.385
"Smith, Chipper",UMES,Sr,1.383
"Kerrigan, Scott",Notre Dame,Sr,1.380
"Hunt, T.J.",Monmouth,Sr,1.373
"Drapeau, Brian",LIU Brooklyn,Sr,1.370
"Cozart, Logan",Ohio,Sr,1.367
"Tabakman, Jordan",UConn,Sr,1.365
"Dyer, Pat",Akron,Sr,1.364
"Smith, Devin",Alabama A&M,Sr,1.354
"Bowers, Heath",Campbell,Sr,1.351
